source,target
Adanel,Belemir
Angrod,Eldalótë
Ar-Pharazôn,Tar-Míriel
Ar-Gimilzôr,Inzilbêth
Tarannon Falastur,Berúthiel
Tar-Vanimeldë,Herucalmo
Tar-Míriel,Ar-Pharazôn
Tar-Meneldur,Almarian
Tar-Ancalimë,Hallacar
Morwen Steelsheen,Thengel
Tar-Aldarion,Erendis
Finwë,"Míriel Serindë then ,Indis"
Finrod,"Loved ,Amarië but they never married"
Fingolfin,Anairë
Finduilas of Dol Amroth,Denethor II
Finduilas,"None; betrothed to ,Gwindor, but never married."
Finarfin,Eärwen
Fastolph Bolger,Pansy Baggins
Faramir,owyn
Silmariën,Elatan
Sador,None known
Lobelia Sackville-Baggins,Otho Sackville-Baggins
Rían,Huor
Rufus Burrows,Asphodel Brandybuck
Rudigar Bolger,Belba Baggins
Rowan Greenhand,Belba Baggins
Odo Proudfoot,Mrs. Proudfoot
Mrs. Proudfoot,Odo Proudfoot
Ivorwen,Dírhael
Isengrim Took III,Not married
Isembold Took,Unnamed wife 
Irmo,Estë
Inzilbêth,Ar-Gimilzôr
Indis,Finwë
Imrazôr,Mithrellas
Iminyë,Imin
Imin,Iminyë
Idril,Tuor
Ibûn,"Unknown, possibly none"
Húrin,Morwen Eledhwen
Háma,"Unknown, possibly none"
Huor,Rían
Eöl,Aredhel
Eärwen,Finarfin
Eärendil,Elwing
Estë,Irmo
Erendis,Tar-Aldarion
Erellont,unknown
owyn,Faramir
omer,Lothíriel after the War of the Ring
Enelyë,Enel
Enel,Enelyë
Emeldir,Barahir
Elwing,Eärendil
Elrond,Celebrían
Elfhild,Théoden
Elenwë,Turgon
Eldalótë,Angrod
Elatan,Silmariën
Eilinel,Gorlim
Eglantine (Banks) Took,Paladin Took II
Egalmoth (elf),"Unknown, possibly none"
Ecthelion I,Possibly none
Dírhael,Ivorwen
Otho Sackville-Baggins,Lobelia Sackville-Baggins
Ossë,Uinen
Oromë,Vána
Orchaldor,Ailinel
Núneth,Beregar
Hob Gammidge,Rowan
Herucalmo,Tar-Vanimeldë
Hareth,Galdor
Handir,Beldis
Hallacar,Tar-Ancalimë
Haldir (Haladin),Glóredhel
Hador,Gildis
Dior (Steward),Possibly none
Dior,Nimloth
Diamond Took,Peregrin Took
Denethor II,Finduilas
Círdan,Presumably none
omund,Théodwyn
Yavanna,Aulë
Tom Bombadil,Goldberry
Wilibald Bolger,Prisca Baggins
Rosamunda (Took) Bolger,Odovacar Bolger
Odovacar Bolger,Rosamunda Took
Jessamine (Boffin) Bolger,Herugar Bolger
Fredegar Bolger,"unknown, possibly unmarried"
Filibert Bolger,Poppy Chubb-Baggins
Rollo Boffin,Lavender Grubb
Otto Boffin,Lavender Grubb
Ivy (Goodenough) Boffin,Buffo Boffin
Hugo Boffin,Donnamira Took
Griffo Boffin,Daisy Baggins
Gerda (Boffin) Bolger,Adalbert Bolger
Druda Burrows Boffin,Rollo Boffin
Daisy (Baggins) Boffin,Griffo Boffin
Buffo Boffin,Ivy Goodenough
Donnamira (Took) Boffin,Hugo Boffin
Berúthiel,Tarannon Falastur
Beren,Lúthien Tinúviel
Niënor,Túrin Turambar
Nina Lightfoot,Theobald Bolger
Nimrodel,"Loved ,Amroth"
Nimloth (elf),Dior Eluchíl
Nessa,Tulkas
Nerdanel,Fëanor
Narmacil I,"Unknown, possibly none as he had no children"
Míriel,Finwë
Morwen,Húrin Thalion
Mithrellas,Imrazôr
Melian,Thingol
Meleth,Agathor
Mauhúr,none
Manwë,Varda
Manwendil,Possible unnamed wife
Mandos,Vairë
Gwindor,"None, betrothed to ,Finduilas"
Rose Greenhand,Cotman Cotton
Gorlim,Eilinel
"Gormadoc ""Deepdelver"" Brandybuck",Malva Headstrong
Hanna (Goldworthy) Brandybuck,Madoc Brandybuck
Glóredhel,Haldir
Gilraen,Arathorn II
Gildis,"Hador, Lórindol"
Tolman Cotton,Lily Brown
Rosie Cotton,Sam Gamgee
Marigold (Gamgee) Cotton,Tolman Cotton
Lily Cotton,Farmer Cotton
Tolman Cotton Jr.,Marigold Cotton
Ciryon,"Unknown, possibly known"
Celebrían,Elrond
Celeborn,Galadriel
Watcher in the Water,Most likely none
Voronwë,None known
Vidumavi,Valacar
Varda,Manwë
Valacar,Vidumavi
Vairë (Elf),Lindo
Vairë,Mandos
Uinen,Ossë
Túrin,Nienor
Turgon,Elenwë
Tuor,Idril Celebrindal
Tulkas,Nessa
Treebeard,Fimbrethil
Rosa (Baggins) Took,Hildigrim Took
Belemir,Adanel
Beldis,Handir
Barahir,Emeldir
Ponto Baggins,Mimosa Bunce
Peony (Baggins) Burrows,Milo Burrows
"Malva ""Headstrong"" Brandybuck",Gormadoc Brandybuck
Malbeth the Seer,"Unknown, possible none"
Malach,Meldis
Lúthien,Beren Erchamion
Lothíriel,omer
Lindórië,Unknown husband
Lindo,Vairë
Letter 211,Lilah Took
Elanor Gardner,Fastred of Greenholm
Samwise Gamgee,Rosie Cotton
Hamfast Gamgee,Bell Goodchild
Galdor,Hareth
Galadriel,Celeborn
Fíriel,Arvedui
Fëanor,Nerdanel
Fram,"Unknown, probably as he had descendants"
Forweg,"Unknown, probably none"
Forthwini,"Unknown, but possible since he had descendants"
Forlong,unknown
Milo Burrows,Peony Baggins
Sapphira (Brockhouse) Boffin,Uffo Boffin
Asphodel (Brandybuck) Burrows,Rufus Burrows
Primula (Brandybuck) Baggins,Drogo Baggins
Mirabella (Took) Brandybuck,Gorbadoc Brandybuck
Seredic Brandybuck,Hilda Bracegirdle
Meriadoc Brandybuck,Estella (Bolger) Brandybuck
Madoc Brandybuck,Hanna Goldworthy
Estella (Bolger) Brandybuck,Meriadoc Brandybuck
Hilda Brandybuck,Seredic Brandybuck
Esmeralda Brandybuck,Saradoc Brandybuck
Adaldrida (Bolger) Brandybuck,Marmadoc Brandybuck
Primrose Bracegirdle,Blanco Bracegirdle
Blanco Bracegirdle,Primrose Boffin
Peregrin Took,Diamond of Long Cleeve
Paladin Took II,Eglantine Banks
Hildigrim Took,Rosa Baggins
Gerontius Took,Adamanta Chubb
Adamanta (Chubb) Took,"Gerontius ""The Old"" Took"
Bandobras Took,Unnamed wife 
Fortinbras Took II,Lalia Clayhanger
Faramir Took I,Goldilocks Gardner
Théoden,Elfhild
Thingol,Melian
Thengel,Morwen Steelsheen
Tatië,Tata
Tata,Tatië
Longo Baggins,Camellia (Sackville) Baggins
Laura (Grubb) Baggins,Mungo Baggins
Mungo Baggins,Laura Grubb
Fosco Baggins,Ruby Bolger
Drogo Baggins,Primula Brandybuck
Berylla (Boffin) Baggins,Balbo Baggins
Belladonna (Took) Baggins,Bungo Baggins
Balbo Baggins,Berylla (Boffin) Baggins
Aulë,Yavanna
Atanalcar,Possible unnamed wife
Arwen,Aragorn II Elessar
Arvedui,Fíriel
Aredhel,Eöl
Arathorn II,Gilraen
Aratan,"Unknown, possibly known"
Aragorn II Elessar,Arwen
Andreth,"Loved ,Aegnor, but they never married"
Anairë,Fingolfin
Amroth,Nimrodel
Amarië,"Loved ,Finrod, but it is unknown whether they married"
Ailinel,Orchaldor
Almarian,Tar-Meneldur
Algund,None known
Aerin,Brodda
Aegnor,"Loved ,Andreth but remained unmarried"
